sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation
46508139,445722,DrugBank,DB03657,DB03657|N-(methoxycarbonyl)-beta-D-glucopyranosylamine|1-DEOXY-1-METHOXYCARBAMIDO-BETA-D-GLUCOPYRANOSE,20200307,20080117,Curation Efforts|Research and Development,NULL
46508140,448006,DrugBank,DB02047,"(+)-2-(4-biphenyl)propionic acid|2-(1,1'-BIPHENYL-4-YL)PROPANOIC ACID|DB02047|(2S)-2-(4-Biphenylyl)propanoic acid",20210728,20080117,Curation Efforts|Research and Development,NULL
46508141,444719,DrugBank,DB02151,METHIONINE PHOSPHONATE|DB02151,20200307,20080117,Curation Efforts|Research and Development,NULL
46508142,4064,DrugBank,DB00371,meprobamate|Meprobamic acid|DB00371,20210728,20080117,Curation Efforts|Research and Development,NULL
46508143,2131,DrugBank,DB01122,ambenonium|Ambenonum|Ambenonium Base|DB01122,20210728,20080117,Curation Efforts|Research and Development,NULL
46508144,135398619,DrugBank,DB04315,guanosine-5'-diphosphate|DB04315,20200307,20080117,Curation Efforts|Research and Development,NULL
46508145,54688261,DrugBank,DB02507,DB02507|4-HYDROXY-3-[(1S)-3-OXO-1-PHENYLBUTYL]-2H-CHROMEN-2-ONE,20190207,20080117,Curation Efforts|Research and Development,NULL
46508146,145729,DrugBank,DB03413,DEOXYURIDINE-5'-DIPHOSPHATE|DB03413,20200307,20080117,Curation Efforts|Research and Development,NULL
46508147,2471,DrugBank,DB00887,bumetanide|3-(Aminosulfonyl)-5-(butylamino)-4-phenoxybenzoic acid|DB00887|3-butylamino-4-phenoxy-5-sulfamoyl-benzoic acid|3-butylamino-4-(phenoxy)-5-sulfamoylbenzoic acid|3-butylamino-4-phenoxy-5-sulfamoylbenzoic acid,20200307,20080117,Curation Efforts|Research and Development,NULL
46508148,444425,DrugBank,DB01891,tl-3-093|DB01891,20210728,20080117,Curation Efforts|Research and Development,NULL
46508149,101544,DrugBank,DB03765,"2'-Cytidylic acid|Cytidine 2'-phosphate|2'-cmp|CYTIDINE-2'-MONOPHOSPHATE|Cytidine, 2'-phosphate|2'-cytidinephosphoric acid|DB03765",20200307,20080117,Curation Efforts|Research and Development,NULL
46508150,65981,DrugBank,DB00912,Repaglinide|DB00912,20200307,20080117,Curation Efforts|Research and Development,NULL
46508151,445989,DrugBank,DB03888,DB03888|N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine,20210728,20080117,Curation Efforts|Research and Development,NULL
46508152,5289143,DrugBank,DB03438,LYSOPHOSPHATIDYLGLYCEROL|DB03438,20200307,20080117,Curation Efforts|Research and Development,NULL
46508153,447236,DrugBank,DB04554,8-BROMOADENOSINE-5'-DIPHOSPHATE|DB04554,20200307,20080117,Curation Efforts|Research and Development,NULL
46508154,233240,DrugBank,DB03028,1H-BENOXIMIDAZOLE-2-CARBOXYLIC ACID|DB03028,20200307,20080117,Curation Efforts|Research and Development,NULL
46508155,449088,DrugBank,DB02647,N-(5-CYCLOPROPYL-1H-PYRAZOL-3-YL)BENZAMIDE|DB02647,20200307,20080117,Curation Efforts|Research and Development,NULL
46508156,16231,DrugBank,DB00594,"AMILORIDE|Amipramidin|Amyloride|AMIPRAMIDINE|3,5-diamino-N-carbamimidoyl-6-chloropyrazine-2-carboxamide|N-Amidino-3,5-diamino-6-chloropyrazinecarboxamide|DB00594",20200511,20080117,Curation Efforts|Research and Development,NULL
46508157,3260017,DrugBank,DB02637,Oxaloacetate Ion|DB02637,20200307,20080117,Curation Efforts|Research and Development,NULL
46508158,2520,DrugBank,DB00661,VERAPAMIL|Iproveratril|DB00661,20200307,20080117,Curation Efforts|Research and Development,NULL
46508159,79014,DrugBank,DB02536,"D-glyceraldehyde|D-(+)-Glyceraldehyde|Triose|D-aldotriose|D-glycerose|D-2,3-dihydroxypropanal|D-2,3-dihydroxypropionaldehyde|DB02536",20200307,20080117,Curation Efforts|Research and Development,NULL
46508160,5288371,DrugBank,DB03639,1-GUANIDINIUM-7-AMINOHEPTANE|DB03639,20200307,20080117,Curation Efforts|Research and Development,NULL
46508161,14584,DrugBank,DB01463,Fencamfamin|phencamphamine|DB01463,20210728,20080117,Curation Efforts|Research and Development,NULL
46508162,5280453,DrugBank,DB00136,"calcitriol|1alpha,25-Dihydroxyvitamin D3|1alpha,25-Dihydroxycholecalciferol|1,25-DHCC|1alpha,25(OH)2D3|1,25-DIHYDROXYCHOLECALCIFEROL|1-alpha-25-dihydroxyvitamin D3|DB00136|(1S,3R,5Z,7E)-9,10-secocholesta-5,7,10-triene-1,3,25-triol|(1alpha,3beta,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol|(5Z,7E)-(1S,3R)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol",20200307,20080117,Curation Efforts|Research and Development,NULL
46508163,2734608,DrugBank,DB02627,"4,4'-BIPHENYLDIBORONIC ACID|DB02627",20210728,20080117,Curation Efforts|Research and Development,NULL
46508164,5289210,DrugBank,DB02956,PENTASULFIDE-SULFUR|DB02956,20200307,20080117,Curation Efforts|Research and Development,NULL
46508165,2164,DrugBank,DB01351,"amobarbital|Amylobarbitone|Barbamyl|Barbamil|5-Ethyl-5-isoamylbarbituric acid|5-Ethyl-5-isopentylbarbituric acid|5-Ethyl-5-(3-methylbutyl)barbituric acid|5-Ethyl-5-(3-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione|DB01351",20200307,20080117,Curation Efforts|Research and Development,NULL
46508166,5865,DrugBank,DB00635,"prednisone|Dehydrocortisone|1,2-Dehydrocortisone|17,21-Dihydroxypregna-1,4-diene-3,11,20-trione|1,4-Pregnadiene-17alpha,21-diol-3,11,20-trione|DB00635",20200307,20080117,Curation Efforts|Research and Development,NULL
46508167,4099,DrugBank,DB00463,metharbital|DB00463,20200307,20080117,Curation Efforts|Research and Development,NULL
46508168,2724877,DrugBank,DB04171,D-Isovaline|DB04171,20200307,20080117,Curation Efforts|Research and Development,NULL
46508169,445750,DrugBank,DB04426,Alpha-Methyl-N-Acetyl-D-Glucosamine|DB04426,20200307,20080117,Curation Efforts|Research and Development,NULL
46508170,2723601,DrugBank,DB00352,"thioguanine|6-Thioguanine|Tioguanine|6-Mercaptoguanine|2-Amino-6-mercaptopurine|2-Amino-6-purinethiol|2-Amino 6MP|2-Aminopurin-6-thiol|2-Aminopurine-6-thiol|6-Mercapto-2-aminopurine|2-Aminopurine-6(1H)-thione|2-Amino-6-merkaptopurin|6-TG|Thioguanine Anhydrous|Thioguanine, anhydrous|2-Amino-1,7-dihydro-6H-purine-6-thione|2-amino-1,9-dihydropurine-6-thione|DB00352|TG|THG",20200307,20080117,Curation Efforts|Research and Development,NULL
46508171,445482,DrugBank,DB02744,rpr131247|DB02744,20200307,20080117,Curation Efforts|Research and Development,NULL
46508172,49866597,DrugBank,DB02844,"S-Adenosyl-1,8-diamino-3-thiooctane|DB02844",20200307,20080117,Curation Efforts|Research and Development,NULL
46508173,131704200,DrugBank,DB02318,DB02318|2-DEOXY-2-FLUORO-ALPHA-D-MANNOSYL FLUORIDE,20200307,20080117,Curation Efforts|Research and Development,NULL
46508174,2794,DrugBank,DB00845,clofazimine|Riminophenazine|DB00845,20210728,20080117,Curation Efforts|Research and Development,NULL
